"Date","Price","Open","High","Low","Vol.","Change %"
"12-01-2000","4.585","4.675","4.765","4.550","2.87K","-1.90%"
"11-01-2000","4.674","4.700","4.710","4.600","28.27K","-1.68%"
"10-01-2000","4.754","4.840","4.840","4.770","0.01K","-2.96%"
"9-01-2000","4.899","4.985","5.035","4.830","5.43K","-2.08%"
"8-01-2000","5.003","4.880","5.045","4.820","19.13K","-0.06%"
"7-01-2000","5.006","5.020","5.040","4.910","1.80K","-0.54%"
"6-01-2000","5.033","4.980","5.060","4.970","19.98K","1.86%"
"5-01-2000","4.941","4.940","5.135","4.900","2.62K","-0.38%"
"4-01-2000","4.960","5.050","5.050","4.925","17.32K","-1.20%"
"3-01-2000","5.020","5.070","5.180","4.970","2.98K","-0.55%"
"2-01-2000","5.048","5.260","5.420","5.020","17.43K","-4.52%"
"1-01-2000","5.287","5.290","5.290","5.110","0.48K","-2.33%"
"12-01-1999","5.413","5.180","5.370","5.035","2.48K","4.50%"
"11-01-1999","5.180","5.180","5.250","5.120","17.97K","0.15%"
"10-01-1999","5.172","5.540","5.540","5.540","0.40K","-7.20%"
"9-01-1999","5.573","5.145","5.800","5.065","1.81K","8.17%"
"8-01-1999","5.152","5.362","5.485","5.030","11.22K","-5.33%"
"7-01-1999","5.442","5.200","5.442","5.055","3.97K","2.85%"
"6-01-1999","5.291","4.930","5.310","4.930","16.64K","8.31%"
"5-01-1999","4.885","5.385","5.560","5.025","3.63K","-9.65%"
"4-01-1999","5.407","4.980","5.450","4.915","10.04K","8.57%"
"3-01-1999","4.980","5.690","5.690","4.975","7.97K","-11.62%"
"2-01-1999","5.635","5.240","5.660","5.240","15.74K","7.91%"
"1-01-1999","5.222","4.930","5.300","4.880","0.17K","4.69%"
"12-01-1998","4.988","4.830","5.035","4.560","3.41K","3.38%"
"11-01-1998","4.825","5.014","5.121","4.810","19.36K","-4.02%"
"10-01-1998","5.027","5.255","5.255","4.760","0.28K","-5.51%"
"9-01-1998","5.320","4.630","5.250","4.615","6.58K","15.20%"
"8-01-1998","4.618","5.350","5.443","4.615","17.55K","-15.23%"
"7-01-1998","5.448","5.500","5.790","5.240","3.51K","-1.07%"
"6-01-1998","5.507","5.310","5.550","4.980","17.34K","8.51%"
"5-01-1998","5.075","6.180","6.290","4.990","3.10K","-17.99%"
"4-01-1998","6.188","6.660","6.660","6.045","11.90K","-4.02%"
"3-01-1998","6.447","6.480","6.560","5.620","5.78K","0.26%"
"2-01-1998","6.430","6.750","7.070","5.840","35.55K","5.36%"
"1-01-1998","6.103","5.870","6.100","5.520","1.09K","2.87%"
